,Start Time,End Time,Duration,Residue_fit,Residue_diff,<B>(nT),Bmax(nT),<Beta>,<Beta_p>,<Vsw>(km/s),<Tp>(10^6K),theta(deg),phi(deg),z_axis[0](in RTN),z_axis[1](in RTN),z_axis[2](in RTN),size_inAU,walenTest_slope,walenTest_slope_b4reverse,Np_mean,Mach_average,A_range,Bx_inFR_abs_mean,By_inFR_abs_mean,Bz_inFR_abs_mean,VHT_inRTN[0],VHT_inRTN[1],VHT_inRTN[2],walenTest_r_value,walenTest_r_value_b4reverse,Cross_heli,Br_mean,Residue_energy,Jzmax,turnTime
0,2017-11-05 03:31:48.000,2017-11-05 03:35:42.000,3.9,0.19444,0.15668,9.302,14.380196760779299,17.945761905835987,14.224614911405558,277.4255290730903,1.231784,60.0,360.0,0.8660254037844386,-2.1211504774498136e-16,0.5000000000000001,2.9004362998267538e-05,-0.2826971886442068,-0.2826971886442068,10.923636635849055,2.0098075911686295,"[-4.880977362608421e-05, 0.07432971588472366]",4.8485,3.1243,5.897,-237.41761,195.81692,37.21151,-0.1600685992019456,-0.1600685992019456,-0.09549605460234425,3.5466,0.5198463056591222,-4.789250671860233,2017-11-05 03:33:31.500
1,2017-11-05 03:44:46.500,2017-11-05 03:48:27.000,3.675,0.17712,0.12787,7.5556,12.473637524718251,26.271658172633973,21.798933700643897,276.1524150579386,1.613077,20.0,280.0,0.05939117461388457,-0.33682408883346515,0.9396926207859084,2.867345425192827e-05,-0.27875946789590844,-0.27875946789590844,12.729331491999998,0.969720801117584,"[-0.0340973905301822, 0.00021194507250729217]",3.6486,2.3559,5.1089,-213.83001,145.00795,35.99294,-0.2845112819941152,-0.2845112819941152,-0.2735912776899653,2.1686,-0.17695636038776513,3.5302841950776287,2017-11-05 03:46:52.500
2,2017-11-05 03:53:06.000,2017-11-05 03:54:00.000,0.9,0.1308,0.12328,7.8061,11.096925061330882,24.06181247429675,19.194555132532876,275.58251556067904,1.404793,50.0,300.0,0.3830222215594891,-0.6634139481689384,0.6427876096865394,5.691548056533453e-06,-0.23369713650203316,-0.23369713650203316,15.737979,0.4612342358935523,"[-0.0007389442688258879, 0.009265969388971788]",4.4072,1.996,5.0012,-223.16118,156.46952,22.38511,-0.5441163079921695,-0.5441163079921695,-0.3942199497734478,-0.0532,-0.6940076540000298,24.387939073924283,2017-11-05 03:53:42.000
3,2017-11-05 03:55:12.000,2017-11-05 03:56:19.500,1.125,0.19751,0.1698,10.3541,13.825190580714105,12.674688762972337,9.683826111669799,317.43818962429754,1.187989,10.0,100.0,-0.030153689607045796,0.17101007166283433,0.984807753012208,1.0578225521926325e-05,-0.23878473381228354,-0.23878473381228354,17.5148815,0.7851576900543638,"[-0.017879227614774167, 0.0]",7.5342,1.9937,5.952,-266.10463,169.21945,5.07963,-0.23932747962007747,-0.23932747962007747,-0.1178701990743898,6.2404,-0.3756993748066329,-5.760927483015405,2017-11-05 03:55:39.000
4,2017-11-05 04:01:21.000,2017-11-05 04:02:15.000,0.9,0.18045,0.12726,9.0128,13.959355131020644,17.05913441558884,13.327425220527447,295.7389302788834,1.347878,50.0,340.0,0.7198463103929542,-0.26200263022938486,0.6427876096865394,5.558993573457229e-06,-0.006727929741911344,-0.006727929741911344,15.760010692307693,0.6249632730439327,"[-0.010397583083908606, 0.0009159655553941367]",2.8794,2.501,7.8872,-254.01129,141.75635,20.16646,-0.009628588517844114,-0.009628588517844114,0.02487464881495994,5.3377,-0.4336420121975931,62.963813981628604,2017-11-05 04:01:57.000
5,2017-11-05 04:07:16.500,2017-11-05 04:07:57.000,0.675,0.15389,0.10401,7.5648,9.195341665622282,17.962125629266872,14.003124149628826,272.4620921274862,1.413115,90.0,320.0,0.7660444431189778,-0.6427876096865396,6.123233995736766e-17,4.903808143936591e-07,-0.11715574995393417,-0.11715574995393417,14.0436551,0.2590683434455825,"[-0.0006556407553728028, 0.0]",6.6921,1.8361,2.241,-209.89344,168.276,23.39168,-0.40616372794495176,-0.40616372794495176,-0.21388474380822772,0.6867,-0.860037611351881,-79.5079062646322,2017-11-05 04:07:34.500
6,2017-11-05 04:12:36.000,2017-11-05 04:13:34.500,0.975,0.16261,0.17036,7.5834,9.9932269034105,25.95003214365934,21.756018369171976,266.4532645490661,1.873961,60.0,320.0,0.6634139481689382,-0.5566703992264196,0.5000000000000001,4.584726995325121e-06,0.1606525852272204,0.1606525852272204,10.847883714285715,0.2941026107715476,"[-0.002540209191877482, 0.0007420919703594373]",2.5088,0.8247,6.8171,-207.55989,169.30638,25.824,0.5683523755923789,0.5683523755923789,0.28400396372907655,3.4125,-0.8638924767750861,-39.27060885611098,2017-11-05 04:13:16.500
7,2017-11-05 04:13:43.500,2017-11-05 04:14:24.000,0.675,0.16335,0.17115,8.5235,13.112593432976261,17.115096502933987,13.495341701823975,275.0192723003849,1.480881,10.0,120.0,-0.08682408883346512,0.1503837331804353,0.984807753012208,5.051903292605295e-06,-0.042276790245163655,-0.042276790245163655,12.8718696,0.5255017623441683,"[-0.010641846392564087, 0.001544896823690251]",5.8681,2.2845,5.4622,-210.50801,154.35393,56.38744,-0.07462073847223395,-0.07462073847223395,-0.39664680151417236,4.1702,-0.5870622739116012,26.38912051406048,2017-11-05 04:13:57.000
8,2017-11-05 04:19:52.500,2017-11-05 04:21:31.500,1.65,0.17306,0.14831,6.2807,9.5897078014439,25.861398432740035,20.71300870593673,274.2736407330021,1.547571,30.0,160.0,-0.4698463103929541,0.1710100716628344,0.8660254037844387,1.07335131797959e-05,-0.2459074511328322,-0.2459074511328322,12.426021391304346,0.4958930833297898,"[-0.006888652977071252, 0.0]",5.2112,0.7473,2.9612,-206.24669,168.51675,40.26284,-0.4484185950403482,-0.4484185950403482,-0.5107221137823106,2.0165,-0.6331860888660764,-15.640697974930536,2017-11-05 04:20:19.500
9,2017-11-05 04:22:21.000,2017-11-05 04:23:24.000,1.05,0.08674,0.06364,8.6976,10.61588997064654,11.3392801754395,8.944945729221127,281.29741535762446,1.374969,10.0,320.0,0.13302222155948895,-0.1116188970489497,0.984807753012208,8.825870004624343e-06,-0.24079831172135951,-0.24079831172135951,13.269045999999998,0.36801124919290484,"[0.0, 0.018032492454823617]",2.082,2.0937,7.686,-227.45794,154.78195,48.886,-0.524529616747766,-0.524529616747766,-0.37118008710296707,2.209,-0.7500386783571317,6.5238436230259005,2017-11-05 04:23:01.500
10,2017-11-05 04:24:27.000,2017-11-05 04:25:07.500,0.675,0.07105,0.08939,7.304,10.461340436101334,22.76116560271679,17.75996037621518,264.2443947725104,1.364407,50.0,180.0,-0.766044443118978,9.381338752702731e-17,0.6427876096865394,4.178818077328985e-06,-0.12293215808170466,-0.12293215808170466,14.1450976,0.4783993101377722,"[-0.0007061212393263703, 0.009614825132419024]",4.5039,2.8005,3.6574,-208.15624,167.27677,18.14837,-0.24367884517222776,-0.24367884517222776,-0.11469215040163577,-0.9882,-0.729279646801494,35.52124341216893,2017-11-05 04:24:49.500
11,2017-11-05 04:30:31.500,2017-11-05 04:31:21.000,0.825,0.16942,0.14193,8.3138,11.36911830881088,16.911661046698146,13.86433249103851,277.12203308384596,1.732092,30.0,160.0,-0.4698463103929541,0.1710100716628344,0.8660254037844387,5.766870190689338e-06,0.24292234723313544,0.24292234723313544,11.779896500000001,0.37560228396878853,"[-4.632265493741742e-05, 0.007775126454655969]",7.9021,1.4373,1.6857,-219.43385,178.50074,36.70004,0.6130329267248993,0.6130329267248993,0.4739414193223569,4.0559,-0.7712392958441143,44.67318330420486,2017-11-05 04:30:49.500
12,2017-11-05 04:32:28.500,2017-11-05 04:33:13.500,0.75,0.1375,0.11503,11.2008,13.539593927381397,7.064964221041259,5.5716561236093405,270.1047870860109,1.395796,80.0,320.0,0.7544065067354887,-0.6330222215594893,0.17364817766693041,2.170163376018027e-06,-0.6313320551916269,-0.6313320551916269,13.760532681818182,0.7188707301616234,"[-0.00551749471828537, 0.000446882650581251]",5.7473,2.8091,8.8914,-192.13929,138.1343,54.40226,-0.9067999289732555,-0.9067999289732555,-0.8559141402580286,5.2566,-0.3246828883571121,-27.776484195330532,2017-11-05 04:32:46.500
13,2017-11-05 04:34:03.000,2017-11-05 04:36:31.500,2.475,0.19314,0.16383,10.3556,14.763614958838941,9.617456827855381,7.493542495448618,274.58803898887084,1.380628,80.0,320.0,0.7544065067354887,-0.6330222215594893,0.17364817766693041,6.996329878450063e-06,-0.5664544014362006,-0.5664544014362006,14.610831220588237,0.7082954248208635,"[-9.162826503630739e-05, 0.010049786231887244]",4.6155,1.8052,8.5167,-204.94322,135.08429,48.01546,-0.8280801333372568,-0.8280801333372568,-0.7822052529665706,4.9503,-0.3547331265365912,56.303768864177876,2017-11-05 04:35:28.500
14,2017-11-05 04:37:57.000,2017-11-05 04:38:37.500,0.675,0.12266,0.0916,10.4033,11.86821412521094,7.626314940061681,6.129125548840191,262.7103857351116,1.61988,120.00000000000001,320.0,0.6634139481689383,-0.5566703992264195,-0.5000000000000001,2.907385644946526e-06,0.7133111617411393,0.7184952625435683,11.4627601,0.776360286674144,"[-0.001510100206204927, 0.0]",9.2635,0.5882,4.5985,-238.24455,179.74081,7.69831,0.8919541720711799,0.950896051068232,0.920423932346608,7.1321,-0.2609588478182063,172.9512020373795,2017-11-05 04:38:10.500
15,2017-11-05 04:40:21.000,2017-11-05 04:41:06.000,0.75,0.18159,0.0833,9.712,11.479879296169653,9.08691971456663,7.492921710786396,269.93726034843945,1.734464,30.0,260.0,-0.08682408883346515,-0.49240387650610395,0.8660254037844387,5.946682074250304e-06,-0.17785186865412672,-0.17785186865412672,11.35221109090909,0.2570195652964981,"[-0.0002153198592795774, 0.0036867508142773286]",6.4799,0.7655,7.1419,-213.89499,149.60782,41.41397,-0.4745249662769095,-0.4745249662769095,-0.3219117127189073,4.7414,-0.8751620101837635,36.760340197501435,2017-11-05 04:40:48.000
16,2017-11-05 04:42:31.500,2017-11-05 04:43:34.500,1.05,0.18097,0.1359,13.5288,15.118657137895955,4.234374944466948,3.3229198896085688,286.864651825439,1.485156,50.0,160.0,-0.7198463103929541,0.2620026302293851,0.6427876096865394,6.370419883945581e-06,0.5618746709664102,0.5618746709664102,11.406197333333333,0.5745780427999606,"[-8.551881028762833e-05, 0.002114054455028067]",13.1638,0.3906,3.0019,-245.72652,183.41236,9.67716,0.9684287755334725,0.9684287755334725,0.8439019078230331,3.0141,-0.5123471874671037,487.10251441853666,2017-11-05 04:42:58.500
17,2017-11-05 04:46:39.000,2017-11-05 04:50:01.500,3.375,0.19312,0.13301,10.9282,12.721205664137083,6.28406991511239,4.938801908082828,278.83629745724255,1.50713,20.0,260.0,-0.0593911746138847,-0.33682408883346515,0.9396926207859084,2.9772913624308557e-05,0.4163622595353575,0.4163622595353575,11.136193108695654,0.451022032894925,"[-7.621038384547273e-05, 0.015761455687628143]",4.7722,0.5501,9.6828,-232.63225,181.06463,14.68799,0.9035243664225121,0.9035243664225121,0.7167542467562045,3.242,-0.663610518932178,6.4027793203992065,2017-11-05 04:48:31.500
18,2017-11-05 04:50:37.500,2017-11-05 04:51:18.000,0.675,0.17526,0.18345,10.6856,11.132874750897383,6.457019859139798,5.10825115653062,277.8012353782611,1.508737,40.0,300.0,0.3213938048432697,-0.5566703992264193,0.766044443118978,4.863118758607188e-06,-0.020046325851015703,-0.020046325851015703,11.0941327,0.07222795299831382,"[-0.0001647295445847064, 0.0010660572603399913]",0.3305,0.2755,10.6723,-218.80514,163.78632,33.47243,-0.22273002864012176,-0.22273002864012176,-0.05633761996914664,3.2874,-0.9877042152522767,7.787589865366538,2017-11-05 04:51:00.000
19,2017-11-05 04:54:45.000,2017-11-05 04:55:30.000,0.75,0.15512,0.15111,11.3934,12.866329233870962,5.788557262967779,4.7448214013471635,266.0398452685434,1.691991,50.0,160.0,-0.7198463103929541,0.2620026302293851,0.6427876096865394,5.0449219514878e-06,0.6648873387502982,0.6648873387502982,10.449506999999999,0.6932568699364715,"[-0.005762448319476406, 0.0007839830164728794]",11.2246,1.2125,1.2159,-227.76027,195.64079,-21.33706,0.9706515872775164,0.9706515872775164,0.9198478387133122,3.7603,-0.34822302454408055,-29.263997673879757,2017-11-05 04:55:03.000
20,2017-11-05 05:06:22.500,2017-11-05 05:07:52.500,1.5,0.18303,0.10685,10.0027,12.248641195528046,7.502939275721981,6.268401472727685,241.04109625038686,1.817071,30.0,200.0,-0.46984631039295416,-0.1710100716628343,0.8660254037844387,1.206519367030352e-05,0.6140169784877165,0.6140169784877165,9.656692285714287,0.6205373905949377,"[-0.006982926096074953, 0.0]",9.5505,0.6582,2.3099,-211.21333,183.57918,19.61384,0.9176305637990758,0.9176305637990758,0.841721532962678,6.2793,-0.43002557221758214,68.24732686032239,2017-11-05 05:07:16.500
21,2017-11-05 05:13:07.500,2017-11-05 05:17:51.000,4.725,0.18894,0.13891,11.1899,14.118417078667518,5.802319212849259,4.733098848281939,266.8595809195225,1.545469,70.0,360.0,0.9396926207859083,-2.3015831204557005e-16,0.3420201433256688,2.412006051661712e-05,-0.18426785693778702,-0.18426785693778702,10.75318125,0.3152778422090444,"[-0.0059301246258894455, 0.02122888501182507]",8.1656,1.9255,7.1992,-203.86349,144.14243,21.11387,-0.4093464384387468,-0.4093464384387468,-0.378309367429815,8.2286,-0.8035180877917725,3.755960099535796,2017-11-05 05:15:27.000
22,2017-11-05 05:24:27.000,2017-11-05 05:25:07.500,0.675,0.11987,0.12518,10.3579,11.9211254463011,7.183187143622128,5.884092748019571,274.6203338570214,1.545437,100.0,240.0,-0.4924038765061041,-0.8528685319524432,-0.17364817766693041,6.5248554840969834e-06,0.7548307755198116,0.729429518231543,11.5731891,0.7680499491945325,"[-0.00030618634289827386, 0.0037185828926103353]",9.9856,0.6453,2.5883,-266.22586,176.8262,43.16931,0.9343853657822008,0.9553759473582314,0.9299622160313771,7.4145,-0.2597872727166284,484.90974116008294,2017-11-05 05:24:40.500
23,2017-11-05 05:27:58.500,2017-11-05 05:28:39.000,0.675,0.11356,0.13002,9.7977,11.000672523130351,7.874691680445264,6.5764575392600975,265.00278855102795,1.699701,100.0,320.0,0.7544065067354888,-0.6330222215594892,-0.17364817766693041,5.579308245625964e-07,0.4233461878158668,0.440797756158908,10.447043149999999,0.45074722083133933,"[0.0, 0.00041658227112572764]",0.8932,0.7475,9.6961,-238.5254,165.13254,44.87463,0.9646319285775308,0.9604890210426377,0.7252147376249712,6.7529,-0.6674251137876612,78.85213542008401,2017-11-05 05:28:16.500
24,2017-11-05 05:29:55.500,2017-11-05 05:31:03.000,1.125,0.10708,0.09295,9.7077,10.725938877196581,8.28755731121744,6.904919298745747,270.62972618007296,1.660104,60.0,280.0,0.15038373318043496,-0.8528685319524433,0.5000000000000001,7.802172440445689e-06,0.020300731317827333,0.020300731317827333,11.10984471875,0.08337859679727605,"[-0.0034885880014495084, 0.0]",6.7507,0.5033,6.9263,-221.76355,152.66983,38.54985,0.12434917277440277,0.12434917277440277,0.046446512898657866,6.905,-0.9812092729378992,-22.122652656062083,2017-11-05 05:30:13.500
25,2017-11-05 05:31:48.000,2017-11-05 05:32:37.500,0.825,0.1726,0.11909,9.209,10.592371039262915,9.448746271009446,7.85917393599976,277.7777603290862,1.653161,70.0,300.0,0.46984631039295427,-0.8137976813493736,0.3420201433256688,4.020996406467263e-06,0.05673249115507991,0.05673249115507991,10.6076555,0.22877585042649096,"[0.0, 0.008738478905904415]",3.4107,2.0748,8.0794,-229.38126,158.7235,24.91507,0.1761290400724402,0.1761290400724402,0.04569240000503171,6.3078,-0.900266519634269,17.827240556861863,2017-11-05 05:32:10.500
26,2017-11-05 05:32:42.000,2017-11-05 05:33:49.500,1.125,0.19653,0.17685,12.1504,15.269925611002447,4.7229591401960525,3.643248499866295,287.20214292931735,1.170812,90.00000000000001,320.0,0.7660444431189779,-0.6427876096865395,-6.123233995736766e-17,9.960090664578282e-07,0.3821279449096612,0.3850455851192581,12.4051825,0.43499231891531287,"[-0.004495277969671588, 3.503843877642044e-05]",1.8562,4.6959,10.7052,-256.60579,178.12942,7.39552,0.880741708119974,0.8723647017550541,0.6639783083296578,7.8457,-0.6826361338853628,-21.42635116952384,2017-11-05 05:33:09.000
27,2017-11-05 05:46:16.500,2017-11-05 05:47:15.000,0.975,0.19463,0.11374,9.9942,11.616793483108077,7.519415802598721,6.336902423424793,255.79746738959042,1.873656,40.0,20.0,0.6040227735550536,0.21984631039295416,0.766044443118978,8.77472879456206e-06,0.8069885021193819,0.8069885021193819,9.53600367857143,0.8105830870843541,"[-0.0010337333149746351, 0.00911190315264675]",9.8411,1.1761,0.8908,-250.62531,173.50809,48.64582,0.9772808231452651,0.9772808231452651,0.9605577081508424,6.8546,-0.2153442590377091,257.64519329898155,2017-11-05 05:46:34.500
28,2017-11-05 06:16:12.000,2017-11-05 06:41:24.000,25.2,0.15067,0.12604,10.3318,14.129491675688898,7.54891278127795,6.171933860363203,257.3528678732176,1.679543,70.0,300.0,0.46984631039295427,-0.8137976813493736,0.3420201433256688,0.00012639395668763214,0.3006959326511887,0.3006959326511887,10.28649621958457,0.3374395712079854,"[-0.0005310651628184945, 0.23356215225258256]",2.9997,2.0267,8.4197,-224.25583,151.49604,36.30613,0.8768806195373255,0.8768806195373255,0.5587326595041449,4.8622,-0.7894178087719494,1.9421617837827039,2017-11-05 06:23:46.500
29,2017-11-05 06:51:36.000,2017-11-05 07:06:31.500,14.925,0.16515,0.11918,10.7782,14.14337010678697,7.540777505355238,6.149359209984925,250.5415458027945,1.551082,30.0,260.0,-0.08682408883346515,-0.49240387650610395,0.8660254037844387,0.00012008402468038897,0.487422162312726,0.487422162312726,12.425837317500003,0.5036926233419249,"[-0.040658177566581855, 0.0015060590945313302]",5.6135,0.6227,9.0467,-220.93768,151.89514,26.70065,0.9429681064069365,0.9429681064069365,0.7806917892277544,3.9133,-0.6004823309483628,2.0894192755118564,2017-11-05 06:58:57.000
30,2017-11-05 07:07:43.500,2017-11-05 07:11:19.500,3.6,0.18721,0.13387,10.4063,14.363927973820847,8.51534437111656,7.066680574324257,251.17277888658728,1.636371,30.0,240.0,-0.25000000000000017,-0.43301270189221913,0.8660254037844387,3.0430851000254933e-05,0.6579149226078694,0.6579149226078694,12.423843887755101,0.6935496984921953,"[-0.019310820059547838, 0.0]",7.6779,0.7484,6.7424,-229.97752,160.21411,21.2619,0.9569187344037385,0.9569187344037385,0.9132719749750304,4.5478,-0.37098692100255637,1.9407250568958896,2017-11-05 07:10:12.000
